Method	Category	Dataset	Size	CompSize	NC
cryfa	V	out509	50970	17854	1.40113
cryfa	F	out60	53075	18590	1.40103
cryfa	V	out1039	51614	18078	1.40101
cryfa	F	out120	52345	18334	1.40101
cryfa	V	out3900	50200	17582	1.40095
cryfa	V	out3438	50020	17518	1.40087
cryfa	B	out264	52899	18526	1.40085
cryfa	V	out4068	50341	17630	1.40084
cryfa	V	out3257	52032	18222	1.40083
cryfa	V	out3173	52627	18430	1.4008
cryfa	V	out4342	50252	17598	1.40078
cryfa	V	out1265	50481	17678	1.40076
cryfa	V	out2112	50344	17630	1.40076
cryfa	V	out1198	51395	17998	1.40075
cryfa	V	out304	50664	17742	1.40075
cryfa	V	out5073	49979	17502	1.40074
cryfa	V	out1268	50619	17726	1.40073
cryfa	V	out3081	52584	18414	1.40073
cryfa	V	out1247	51671	18094	1.4007
cryfa	F	out373	50483	17678	1.4007
cryfa	V	out3950	51032	17870	1.40068
cryfa	V	out3110	53957	18894	1.40067
cryfa	V	out3549	50667	17742	1.40067
cryfa	V	out482	50530	17694	1.40067
cryfa	B	out422	59623	20878	1.40066
cryfa	V	out4512	50760	17774	1.40063
cryfa	V	out1226	50943	17838	1.40062
cryfa	V	out1049	54006	18910	1.40058
cryfa	V	out3254	52041	18222	1.40058
cryfa	V	out1176	50488	17678	1.40057
cryfa	V	out3350	53641	18782	1.40057
cryfa	V	out1152	51951	18190	1.40055
cryfa	V	out3199	51631	18078	1.40055
cryfa	V	out4639	50672	17742	1.40053
cryfa	V	out1225	52866	18510	1.40052
cryfa	V	out2965	51130	17902	1.4005
cryfa	V	out968	50216	17582	1.4005
cryfa	V	out321	50902	17822	1.40049
cryfa	V	out1072	50080	17534	1.40047
cryfa	V	out1211	50857	17806	1.40047
cryfa	V	out373	50857	17806	1.40047
cryfa	V	out1995	52274	18302	1.40046
cryfa	V	out2874	51224	17934	1.40043
cryfa	V	out3355	51544	18046	1.40043
cryfa	V	out3359	53692	18798	1.40043
cryfa	V	out3439	50219	17582	1.40042
cryfa	V	out4084	53281	18654	1.40042
cryfa	V	out1763	50585	17710	1.40041
cryfa	V	out1189	50723	17758	1.40039
cryfa	F	out11	51957	18190	1.40038
cryfa	V	out3252	52597	18414	1.40038
cryfa	V	out3543	52003	18206	1.40038
cryfa	V	out4801	50404	17646	1.40036
cryfa	V	out334	53238	18638	1.40035
cryfa	V	out1012	52965	18542	1.40032
cryfa	V	out1174	53742	18814	1.40032
cryfa	V	out1256	50223	17582	1.40031
cryfa	F	out52	56850	19902	1.40031
cryfa	V	out3200	52098	18238	1.40028
cryfa	V	out1099	51642	18078	1.40025
cryfa	F	out133	54110	18942	1.40025
cryfa	V	out2708	50408	17646	1.40025
cryfa	F	out362	50545	17694	1.40025
cryfa	V	out4600	53059	18574	1.40025
cryfa	V	out5446	53608	18766	1.40023
cryfa	V	out3576	51643	18078	1.40022
cryfa	V	out3893	50089	17534	1.40022
cryfa	V	out3255	53792	18830	1.4002
cryfa	V	out776	55346	19374	1.4002
cryfa	V	out3347	52924	18526	1.40019
cryfa	V	out4028	50090	17534	1.40019
cryfa	V	out1104	52513	18382	1.40018
cryfa	V	out3213	53290	18654	1.40018
cryfa	V	out3135	51462	18014	1.40017
cryfa	V	out1139	55942	19582	1.40016
cryfa	V	out1273	51554	18046	1.40016
cryfa	V	out3548	53428	18702	1.40016
cryfa	V	out741	52148	18254	1.40016
cryfa	F	out94	50320	17614	1.40015
cryfa	V	out312	51418	17998	1.40013
cryfa	V	out3201	51875	18158	1.40013
cryfa	V	out3239	53978	18894	1.40012
cryfa	V	out1207	53202	18622	1.40009
cryfa	V	out2104	60333	21118	1.40009
cryfa	V	out324	50048	17518	1.40009
cryfa	V	out3415	50185	17566	1.40009
cryfa	V	out3351	53157	18606	1.40007
cryfa	V	out4580	53797	18830	1.40007
cryfa	V	out1140	51786	18126	1.40006
cryfa	V	out3432	54529	19086	1.40006
cryfa	V	out396	52609	18414	1.40006
cryfa	V	out3010	51878	18158	1.40005
cryfa	V	out1066	53067	18574	1.40004
cryfa	V	out302	51284	17950	1.40004
cryfa	V	out3353	53204	18622	1.40004
cryfa	V	out3618	53844	18846	1.40004
cryfa	V	out1022	52290	18302	1.40003
cryfa	P	out1319	152356	53326	1.40003
cryfa	V	out2458	51330	17966	1.40003
cryfa	V	out3211	55307	19358	1.40003
cryfa	V	out1170	53342	18670	1.40002
cryfa	V	out1214	54211	18974	1.40001
cryfa	V	out3609	51331	17966	1.40001
cryfa	V	out1881	169502	59326	1.4
cryfa	V	out285	54074	18926	1.4
cryfa	V	out5673	54394	19038	1.4
cryfa	V	out1185	50189	17566	1.39998
cryfa	V	out1994	53709	18798	1.39998
cryfa	V	out2972	50601	17710	1.39997
cryfa	V	out5259	51698	18094	1.39997
cryfa	V	out1821	57413	20094	1.39996
cryfa	V	out3181	54350	19022	1.39996
cryfa	V	out3348	52110	18238	1.39996
cryfa	F	out138	59562	20846	1.39995
cryfa	V	out3075	58191	20366	1.39994
cryfa	V	out4601	52065	18222	1.39994
cryfa	V	out2971	50008	17502	1.39993
cryfa	V	out1240	53163	18606	1.39992
cryfa	V	out1279	51197	17918	1.39992
cryfa	V	out3048	53940	18878	1.39992
cryfa	V	out3078	54077	18926	1.39992
cryfa	V	out1258	52203	18270	1.39991
cryfa	V	out3329	52615	18414	1.3999
cryfa	V	out1852	58970	20638	1.39989
cryfa	B	out2411	53667	18782	1.39989
cryfa	V	out3045	51564	18046	1.39989
cryfa	F	out323	59656	20878	1.39989
cryfa	V	out788	50878	17806	1.39989
cryfa	F	out114	55999	19598	1.39988
cryfa	V	out3043	54216	18974	1.39988
cryfa	V	out3508	56136	19646	1.39988
cryfa	F	out107	60571	21198	1.39987
cryfa	V	out1114	55131	19294	1.39986
cryfa	V	out2037	58926	20622	1.39985
cryfa	V	out3074	50880	17806	1.39984
cryfa	V	out309	54309	19006	1.39984
cryfa	V	out3202	53989	18894	1.39984
cryfa	V	out1341	57144	19998	1.39983
cryfa	V	out1237	58653	20526	1.39982
cryfa	V	out300	52938	18526	1.39982
cryfa	V	out1230	59888	20958	1.39981
cryfa	V	out263	52161	18254	1.39981
cryfa	V	out743	59568	20846	1.39981
cryfa	V	out1248	49967	17486	1.3998
cryfa	V	out2108	56688	19838	1.3998
cryfa	V	out3851	50104	17534	1.3998
cryfa	V	out388	53533	18734	1.3998
cryfa	V	out4019	54859	19198	1.3998
cryfa	V	out1160	52894	18510	1.39978
cryfa	V	out195	50745	17758	1.39978
cryfa	V	out351	54997	19246	1.39978
cryfa	V	out1319	52437	18350	1.39977
cryfa	V	out1324	51294	17950	1.39977
cryfa	V	out3139	52940	18526	1.39977
cryfa	F	out22	52483	18366	1.39976
cryfa	V	out306	54769	19166	1.39976
cryfa	V	out4745	52849	18494	1.39976
cryfa	V	out805	136246	47678	1.39976
cryfa	V	out1004	50563	17694	1.39975
cryfa	V	out382	53307	18654	1.39974
cryfa	V	out3854	50152	17550	1.39974
cryfa	V	out109	54542	19086	1.39972
cryfa	V	out3437	50930	17822	1.39972
cryfa	V	out3194	53994	18894	1.39971
cryfa	V	out3472	58932	20622	1.39971
cryfa	V	out3529	53445	18702	1.39971
cryfa	V	out1126	50885	17806	1.3997
cryfa	V	out1135	54040	18910	1.3997
cryfa	V	out2862	60167	21054	1.3997
cryfa	V	out3250	58658	20526	1.3997
cryfa	V	out4926	58338	20414	1.3997
cryfa	V	out1161	55275	19342	1.39969
cryfa	V	out1691	58567	20494	1.39969
cryfa	V	out307	55595	19454	1.39969
cryfa	V	out436	54452	19054	1.39969
cryfa	V	out3390	52349	18318	1.39968
cryfa	V	out3463	51480	18014	1.39968
cryfa	B	out2688	59848	20942	1.39967
cryfa	V	out5147	52395	18334	1.39967
cryfa	V	out439	53310	18654	1.39966
cryfa	V	out5457	58294	20398	1.39966
cryfa	F	out61	54270	18990	1.39966
cryfa	V	out1895	54545	19086	1.39965
cryfa	V	out3068	55002	19246	1.39965
cryfa	V	out3205	52213	18270	1.39965
cryfa	V	out473	56374	19726	1.39965
cryfa	V	out583	53493	18718	1.39965
cryfa	V	out2102	57929	20270	1.39964
cryfa	F	out230	54591	19102	1.39964
cryfa	V	out5674	51756	18110	1.39964
cryfa	V	out1251	57701	20190	1.39962
cryfa	V	out3004	51391	17982	1.39962
cryfa	V	out3521	60536	21182	1.39962
cryfa	V	out838	60582	21198	1.39962
cryfa	V	out2036	52946	18526	1.39961
cryfa	V	out2716	53678	18782	1.3996
cryfa	F	out358	60263	21086	1.39959
cryfa	F	out41	63464	22206	1.39959
cryfa	V	out108	51118	17886	1.39958
cryfa	V	out2442	50295	17598	1.39958
cryfa	V	out3279	63419	22190	1.39958
cryfa	V	out4143	51438	17998	1.39958
cryfa	V	out1985	52170	18254	1.39957
cryfa	V	out2720	59441	20798	1.39957
cryfa	V	out3079	52170	18254	1.39957
cryfa	V	out1131	53771	18814	1.39956
cryfa	V	out1142	52948	18526	1.39956
cryfa	V	out1212	53863	18846	1.39955
cryfa	V	out3483	60082	21022	1.39955
cryfa	V	out3532	54183	18958	1.39955
cryfa	F	out12	70097	24526	1.39954
cryfa	V	out3471	54412	19038	1.39954
cryfa	V	out4657	53223	18622	1.39954
cryfa	V	out2103	55830	19534	1.39953
cryfa	V	out3831	59535	20830	1.39951
cryfa	V	out3220	53819	18830	1.3995
cryfa	V	out4201	50435	17646	1.3995
cryfa	V	out709	58895	20606	1.3995
cryfa	V	out1177	56472	19758	1.39949
cryfa	V	out409	53545	18734	1.39949
cryfa	F	out59	63057	22062	1.39949
cryfa	V	out3111	60588	21198	1.39948
cryfa	V	out3736	54826	19182	1.39948
cryfa	V	out4322	51716	18094	1.39948
cryfa	V	out3554	52860	18494	1.39947
cryfa	V	out582	53500	18718	1.39947
cryfa	V	out3764	49979	17486	1.39946
cryfa	F	out350	51077	17870	1.39945
cryfa	V	out472	55833	19534	1.39945
cryfa	V	out3919	51855	18142	1.39944
cryfa	V	out1002	55148	19294	1.39943
cryfa	V	out1163	54279	18990	1.39943
cryfa	V	out1220	58212	20366	1.39943
cryfa	V	out3065	55285	19342	1.39943
cryfa	V	out3380	53090	18574	1.39943
cryfa	V	out3476	52907	18510	1.39943
cryfa	V	out394	51718	18094	1.39943
cryfa	V	out4230	60133	21038	1.39943
cryfa	V	out742	53456	18702	1.39943
cryfa	B	out1841	74036	25902	1.39942
cryfa	F	out347	61368	21470	1.39942
cryfa	V	out107	52679	18430	1.39941
cryfa	V	out1998	56887	19902	1.3994
cryfa	V	out2099	54463	19054	1.3994
cryfa	B	out2412	65988	23086	1.3994
cryfa	V	out3047	53777	18814	1.3994
cryfa	V	out1338	61964	21678	1.39939
cryfa	V	out1823	67315	23550	1.39939
cryfa	V	out3575	52131	18238	1.39939
cryfa	F	out110	55470	19406	1.39938
cryfa	V	out1991	53915	18862	1.39938
cryfa	V	out3478	55150	19294	1.39938
cryfa	V	out281	54510	19070	1.39937
cryfa	V	out311	52086	18222	1.39937
cryfa	V	out3516	60364	21118	1.39937
cryfa	V	out3602	58992	20638	1.39937
cryfa	V	out1334	57849	20238	1.39936
cryfa	V	out337	54236	18974	1.39936
cryfa	V	out3482	58032	20302	1.39936
cryfa	V	out4334	59450	20798	1.39936
cryfa	V	out1250	53459	18702	1.39935
cryfa	V	out1304	53962	18878	1.39935
cryfa	V	out3145	56066	19614	1.39935
cryfa	V	out3190	53962	18878	1.39935
cryfa	V	out3197	53093	18574	1.39935
cryfa	F	out324	55014	19246	1.39935
cryfa	V	out3391	52041	18206	1.39935
cryfa	V	out484	57072	19966	1.39935
cryfa	V	out3537	54191	18958	1.39934
cryfa	V	out5233	62332	21806	1.39934
cryfa	V	out1127	57393	20078	1.39933
cryfa	V	out283	54466	19054	1.39933
cryfa	V	out580	53734	18798	1.39933
cryfa	V	out1157	59955	20974	1.39931
cryfa	V	out3188	60138	21038	1.39931
cryfa	V	out3207	53186	18606	1.39931
cryfa	V	out3456	61876	21646	1.39931
cryfa	V	out4789	54147	18942	1.3993
cryfa	V	out260	59590	20846	1.39929
cryfa	V	out3066	56434	19742	1.39929
cryfa	V	out3113	61511	21518	1.39929
cryfa	V	out326	59773	20910	1.39929
cryfa	V	out5649	58950	20622	1.39928
cryfa	V	out1218	58173	20350	1.39927
cryfa	F	out125	63570	22238	1.39927
cryfa	V	out3006	63616	22254	1.39927
cryfa	V	out3877	57487	20110	1.39927
cryfa	V	out4418	59545	20830	1.39927
cryfa	V	out839	60780	21262	1.39927
cryfa	V	out3480	53325	18654	1.39926
cryfa	V	out1196	53783	18814	1.39925
cryfa	V	out3863	61284	21438	1.39925
cryfa	V	out1031	63663	22270	1.39924
cryfa	V	out3189	55247	19326	1.39924
cryfa	V	out335	59455	20798	1.39924
cryfa	V	out5458	54195	18958	1.39924
cryfa	V	out3077	55110	19278	1.39923
cryfa	V	out3112	58266	20382	1.39923
cryfa	V	out3185	54424	19038	1.39923
cryfa	V	out3069	54333	19006	1.39922
cryfa	V	out434	62566	21886	1.39922
cryfa	V	out2723	60508	21166	1.39921
cryfa	V	out4798	52961	18526	1.39921
cryfa	V	out301	53373	18670	1.3992
cryfa	V	out1271	58954	20622	1.39919
cryfa	V	out3301	53099	18574	1.39919
cryfa	V	out390	59457	20798	1.39919
cryfa	V	out740	60326	21102	1.39919
cryfa	V	out1167	59366	20766	1.39918
cryfa	V	out2110	61653	21566	1.39918
cryfa	P	out2128	60098	21022	1.39918
cryfa	B	out2648	69612	24350	1.39918
cryfa	V	out2715	54152	18942	1.39917
cryfa	V	out3389	51865	18142	1.39917
cryfa	V	out4979	56622	19806	1.39917
cryfa	V	out1984	60511	21166	1.39915
cryfa	V	out3210	59916	20958	1.39915
cryfa	V	out4492	52415	18334	1.39914
cryfa	V	out1123	58133	20334	1.39913
cryfa	V	out1217	62021	21694	1.39913
cryfa	V	out5235	58819	20574	1.39913
cryfa	F	out36	58362	20414	1.39912
cryfa	V	out5181	55709	19486	1.39912
cryfa	V	out769	52690	18430	1.39912
cryfa	P	out1903	63257	22126	1.39911
cryfa	V	out315	60238	21070	1.39911
cryfa	V	out4336	59369	20766	1.39911
cryfa	V	out4667	57402	20078	1.39911
cryfa	V	out4747	57722	20190	1.39911
cryfa	V	out1235	58043	20302	1.3991
cryfa	P	out1773	95827	33518	1.3991
cryfa	V	out3070	56579	19790	1.3991
cryfa	V	out3965	61108	21374	1.39909
cryfa	F	out112	61566	21534	1.39908
cryfa	V	out1156	59233	20718	1.39908
cryfa	P	out2001	159001	55614	1.39908
cryfa	V	out2710	54567	19086	1.39908
cryfa	V	out3542	55116	19278	1.39908
cryfa	V	out1108	57312	20046	1.39907
cryfa	V	out320	53241	18622	1.39907
cryfa	V	out4139	63625	22254	1.39907
cryfa	V	out267	63671	22270	1.39906
cryfa	V	out4297	60103	21022	1.39906
cryfa	V	out1667	64861	22686	1.39905
cryfa	V	out3256	69298	24238	1.39905
cryfa	V	out5261	60378	21118	1.39905
cryfa	V	out110	52876	18494	1.39904
cryfa	V	out1244	70168	24542	1.39904
cryfa	V	out3917	60104	21022	1.39904
cryfa	V	out4722	61156	21390	1.39904
cryfa	V	out937	67103	23470	1.39904
cryfa	V	out949	57542	20126	1.39904
cryfa	V	out1323	70077	24510	1.39903
cryfa	V	out3206	65594	22942	1.39903
cryfa	V	out3221	68979	24126	1.39903
cryfa	V	out395	58686	20526	1.39903
cryfa	V	out1264	60791	21262	1.39902
cryfa	V	out1329	69391	24270	1.39902
cryfa	V	out1819	67196	23502	1.39901
cryfa	F	out352	71679	25070	1.39901
cryfa	V	out4577	59556	20830	1.39901
cryfa	V	out989	63170	22094	1.39901
cryfa	V	out1148	60563	21182	1.399
cryfa	V	out1658	57498	20110	1.399
cryfa	V	out4362	64360	22510	1.399
cryfa	V	out739	63125	22078	1.399
cryfa	F	out16	72229	25262	1.39899
cryfa	V	out2865	55943	19566	1.39899
cryfa	F	out325	59557	20830	1.39899
cryfa	V	out3187	63949	22366	1.39898
cryfa	V	out3172	69348	24254	1.39897
cryfa	V	out4055	66832	23374	1.39897
cryfa	V	out4359	56447	19742	1.39897
cryfa	V	out2101	59101	20670	1.39896
cryfa	F	out56	73374	25662	1.39896
cryfa	V	out3777	54572	19086	1.39895
cryfa	V	out836	62167	21742	1.39894
cryfa	V	out317	61527	21518	1.39893
cryfa	V	out1094	57364	20062	1.39892
cryfa	V	out2109	61207	21406	1.39892
cryfa	V	out387	54253	18974	1.39892
cryfa	V	out992	61802	21614	1.39891
cryfa	V	out200	60430	21134	1.3989
cryfa	V	out507	59195	20702	1.3989
cryfa	V	out1317	68803	24062	1.39889
cryfa	V	out3103	60156	21038	1.39889
cryfa	V	out4743	68208	23854	1.39889
cryfa	F	out188	69215	24206	1.39888
cryfa	V	out4337	65601	22942	1.39888
cryfa	V	out1287	58327	20398	1.39887
cryfa	V	out3507	59196	20702	1.39887
cryfa	V	out3517	60660	21214	1.39887
cryfa	V	out4489	69124	24174	1.39887
cryfa	V	out933	67111	23470	1.39887
cryfa	V	out1315	69262	24222	1.39886
cryfa	B	out2408	76262	26670	1.39886
cryfa	V	out2931	68164	23838	1.39886
cryfa	F	out10	70589	24686	1.39885
cryfa	V	out5255	57138	19982	1.39885
cryfa	F	out364	57688	20174	1.39883
cryfa	V	out2745	165299	57806	1.39882
cryfa	V	out744	69401	24270	1.39882
cryfa	F	out15	65787	23006	1.39881
cryfa	V	out339	55630	19454	1.39881
cryfa	V	out3552	57140	19982	1.3988
cryfa	V	out3770	63912	22350	1.39879
cryfa	V	out4333	59474	20798	1.39879
cryfa	V	out1224	62449	21838	1.39877
cryfa	V	out1339	61854	21630	1.39877
cryfa	V	out2878	72332	25294	1.39877
cryfa	V	out3904	67116	23470	1.39877
cryfa	V	out1888	57645	20158	1.39876
cryfa	F	out14	65744	22990	1.39875
cryfa	V	out1983	60711	21230	1.39875
cryfa	V	out608	57371	20062	1.39875
cryfa	V	out1246	67712	23678	1.39874
cryfa	V	out2572	60483	21150	1.39874
cryfa	V	out4479	67392	23566	1.39874
cryfa	B	out1840	74530	26062	1.39873
cryfa	V	out3184	57326	20046	1.39873
cryfa	V	out3898	59980	20974	1.39873
cryfa	V	out4937	63686	22270	1.39873
cryfa	V	out4611	71648	25054	1.39872
cryfa	F	out76	65837	23022	1.39872
cryfa	V	out1285	54490	19054	1.39871
cryfa	P	out1782	122667	42894	1.39871
cryfa	V	out1096	61674	21566	1.3987
cryfa	V	out4335	70002	24478	1.3987
cryfa	V	out4462	60988	21326	1.3987
cryfa	V	out1487	57282	20030	1.39869
cryfa	V	out3546	69637	24350	1.39868
cryfa	V	out4338	65793	23006	1.39868
cryfa	V	out4739	65473	22894	1.39868
cryfa	V	out5258	57923	20254	1.39868
cryfa	V	out1306	71331	24942	1.39866
cryfa	V	out3909	61447	21486	1.39866
cryfa	V	out4800	60349	21102	1.39866
cryfa	V	out713	69775	24398	1.39866
cryfa	V	out1124	61539	21518	1.39865
cryfa	V	out2718	68769	24046	1.39865
cryfa	V	out37	74992	26222	1.39865
cryfa	V	out4741	57558	20126	1.39865
cryfa	F	out88	70645	24702	1.39865
cryfa	V	out1113	60716	21230	1.39864
cryfa	V	out1132	72293	25278	1.39864
cryfa	V	out1145	61860	21630	1.39864
cryfa	A	out53	69822	24414	1.39864
cryfa	V	out5349	59389	20766	1.39864
cryfa	F	out95	69959	24462	1.39864
cryfa	V	out3203	76915	26894	1.39863
cryfa	V	out5012	64606	22590	1.39863
cryfa	P	out1096	84466	29534	1.39862
cryfa	F	out316	72431	25326	1.39862
cryfa	V	out1238	59436	20782	1.39861
cryfa	V	out2913	66117	23118	1.39861
cryfa	V	out299	60351	21102	1.39861
cryfa	V	out355	60168	21038	1.39861
cryfa	V	out770	61129	21374	1.39861
cryfa	V	out4054	66758	23342	1.3986
cryfa	V	out4478	66758	23342	1.3986
cryfa	V	out4485	67536	23614	1.3986
cryfa	F	out229	64333	22494	1.39859
cryfa	V	out3067	68406	23918	1.39859
cryfa	V	out1342	68635	23998	1.39858
cryfa	V	out3208	70923	24798	1.39858
cryfa	V	out3251	70145	24526	1.39858
cryfa	V	out1154	69917	24446	1.39857
cryfa	F	out224	71473	24990	1.39857
cryfa	V	out4017	61634	21550	1.39857
cryfa	V	out1147	63694	22270	1.39856
cryfa	V	out4550	63282	22126	1.39856
cryfa	F	out93	69780	24398	1.39856
cryfa	V	out1090	61681	21566	1.39855
cryfa	V	out3115	70696	24718	1.39855
cryfa	V	out2650	63649	22254	1.39854
cryfa	V	out3246	77332	27038	1.39854
cryfa	V	out3302	69232	24206	1.39854
cryfa	P	out209	129730	45358	1.39853
cryfa	V	out2100	62185	21742	1.39853
cryfa	V	out3923	77790	27198	1.39853
cryfa	V	out5256	70834	24766	1.39853
cryfa	F	out86	68134	23822	1.39853
cryfa	P	out1901	66533	23262	1.39852
cryfa	F	out24	70972	24814	1.39852
cryfa	V	out3925	68181	23838	1.39851
cryfa	F	out105	78341	27390	1.3985
cryfa	V	out1456	74817	26158	1.3985
cryfa	V	out1690	69051	24142	1.3985
cryfa	V	out2961	57656	20158	1.3985
cryfa	V	out359	74085	25902	1.3985
cryfa	V	out3673	69555	24318	1.39849
cryfa	V	out386	76282	26670	1.39849
cryfa	V	out4748	69463	24286	1.39849
cryfa	V	out3941	61821	21614	1.39848
cryfa	V	out1316	69510	24302	1.39847
cryfa	V	out4018	70471	24638	1.39847
cryfa	V	out1825	73126	25566	1.39846
cryfa	F	out2	74087	25902	1.39846
cryfa	V	out3486	77199	26990	1.39846
cryfa	F	out13	78573	27470	1.39844
cryfa	V	out3039	67315	23534	1.39844
cryfa	V	out4742	70107	24510	1.39843
cryfa	V	out5257	68505	23950	1.39843
cryfa	V	out5648	62098	21710	1.39843
cryfa	B	out3023	73174	25582	1.39842
cryfa	F	out310	77613	27134	1.39842
cryfa	V	out284	71298	24926	1.39841
cryfa	V	out3180	70337	24590	1.39841
cryfa	V	out2927	67683	23662	1.3984
cryfa	V	out3003	69422	24270	1.3984
cryfa	V	out3349	77477	27086	1.3984
cryfa	V	out4197	62374	21806	1.3984
cryfa	V	out4473	70429	24622	1.3984
cryfa	V	out5638	62786	21950	1.3984
cryfa	V	out3076	57569	20126	1.39839
cryfa	V	out5081	76425	26718	1.39839
cryfa	P	out532	140910	49262	1.39839
cryfa	V	out3761	65121	22766	1.39838
cryfa	V	out346	77158	26974	1.39837
cryfa	F	out68	80133	28014	1.39837
cryfa	V	out1705	64298	22478	1.39836
cryfa	F	out182	74321	25982	1.39836
cryfa	V	out3216	71575	25022	1.39836
cryfa	V	out984	65305	22830	1.39836
cryfa	F	out208	72445	25326	1.39835
cryfa	V	out3479	78532	27454	1.39835
cryfa	V	out471	75191	26286	1.39835
cryfa	V	out1010	76473	26734	1.39834
cryfa	V	out2647	67869	23726	1.39834
cryfa	V	out3346	75329	26334	1.39834
cryfa	F	out368	81279	28414	1.39834
cryfa	V	out1178	69883	24430	1.39833
cryfa	F	out228	63750	22286	1.39833
cryfa	V	out4753	75604	26430	1.39833
cryfa	V	out962	71897	25134	1.39833
cryfa	P	out1790	88878	31070	1.39832
cryfa	V	out4698	71212	24894	1.3983
cryfa	F	out371	69885	24430	1.39829
cryfa	F	out79	94876	33166	1.39828
cryfa	V	out3547	75837	26510	1.39826
cryfa	V	out5532	62609	21886	1.39826
cryfa	V	out1129	76295	26670	1.39825
cryfa	V	out1391	64532	22558	1.39825
cryfa	V	out3910	67278	23518	1.39825
cryfa	V	out5260	77073	26942	1.39825
cryfa	V	out1007	76937	26894	1.39823
cryfa	V	out3114	69751	24382	1.39823
cryfa	V	out1179	77075	26942	1.39822
cryfa	F	out20	74603	26078	1.39822
cryfa	V	out3870	75793	26494	1.39822
cryfa	V	out4486	65403	22862	1.39822
cryfa	V	out327	78128	27310	1.39821
cryfa	V	out974	73505	25694	1.39821
cryfa	V	out1158	73231	25598	1.3982
cryfa	B	out1839	95797	33486	1.3982
cryfa	V	out4740	65770	22990	1.3982
cryfa	V	out5039	66182	23134	1.3982
cryfa	V	out843	78724	27518	1.3982
cryfa	V	out2097	75932	26542	1.39819
cryfa	V	out3046	72133	25214	1.39819
cryfa	F	out40	72728	25422	1.39819
cryfa	F	out231	63940	22350	1.39818
cryfa	V	out1841	74148	25918	1.39817
cryfa	V	out2038	71173	24878	1.39817
cryfa	V	out1284	73462	25678	1.39816
cryfa	V	out3758	70441	24622	1.39816
cryfa	V	out726	73279	25614	1.39816
cryfa	V	out1321	63804	22302	1.39815
cryfa	V	out2779	79001	27614	1.39815
cryfa	V	out3412	73188	25582	1.39815
cryfa	V	out4482	67237	23502	1.39815
cryfa	V	out4746	71723	25070	1.39815
cryfa	V	out3005	76164	26622	1.39814
cryfa	V	out3474	75660	26446	1.39814
cryfa	V	out2018	74562	26062	1.39813
cryfa	V	out3485	71724	25070	1.39813
cryfa	V	out3680	76027	26574	1.39813
cryfa	V	out1883	74105	25902	1.39812
cryfa	V	out3007	69848	24414	1.39812
cryfa	V	out310	79003	27614	1.39812
cryfa	F	out361	66140	23118	1.39812
cryfa	V	out3464	77630	27134	1.39811
cryfa	V	out3475	71176	24878	1.39811
cryfa	V	out3545	77630	27134	1.39811
cryfa	P	out1000	89853	31406	1.3981
cryfa	V	out2875	72870	25470	1.3981
cryfa	V	out3352	77036	26926	1.39809
cryfa	P	out1318	152340	53246	1.39808
cryfa	V	out3477	71910	25134	1.39808
cryfa	F	out353	71681	25054	1.39808
cryfa	V	out1015	77129	26958	1.39807
cryfa	V	out4799	67012	23422	1.39807
cryfa	V	out1330	74520	26046	1.39806
cryfa	V	out935	73467	25678	1.39806
cryfa	V	out1294	74063	25886	1.39805
cryfa	V	out1827	69531	24302	1.39805
cryfa	V	out1828	69760	24382	1.39805
cryfa	P	out1774	81571	28510	1.39804
cryfa	V	out3261	71912	25134	1.39804
cryfa	V	out3177	77955	27246	1.39803
cryfa	V	out3238	72645	25390	1.39803
cryfa	V	out3259	73423	25662	1.39803
cryfa	F	out69	84639	29582	1.39803
cryfa	B	out2317	1854353	648110	1.39802
cryfa	F	out8	90087	31486	1.39802
cryfa	V	out1261	76766	26830	1.39801
cryfa	V	out3080	66237	23150	1.39801
cryfa	V	out2962	78964	27598	1.398
cryfa	V	out385	73791	25790	1.398
cryfa	V	out271	70358	24590	1.39799
cryfa	V	out3218	77408	27054	1.39799
cryfa	V	out4141	73425	25662	1.39799
cryfa	V	out3214	79240	27694	1.39798
cryfa	V	out3541	77271	27006	1.39798
cryfa	V	out3629	74021	25870	1.39798
cryfa	P	out1001	84276	29454	1.39797
cryfa	V	out3531	70084	24494	1.39797
cryfa	V	out4676	73518	25694	1.39797
cryfa	F	out21	73198	25582	1.39796
cryfa	V	out2575	70909	24782	1.39796
cryfa	V	out3553	82171	28718	1.39796
cryfa	V	out5252	71870	25118	1.39796
cryfa	V	out715	72282	25262	1.39796
cryfa	F	out73	79653	27838	1.39796
cryfa	V	out2912	65736	22974	1.39795
cryfa	V	out480	76815	26846	1.39795
cryfa	V	out3041	71734	25070	1.39794
cryfa	V	out3481	73199	25582	1.39794
cryfa	P	out1101	95999	33550	1.39793
cryfa	V	out1846	69400	24254	1.39792
cryfa	V	out2027	76954	26894	1.39792
cryfa	F	out104	70271	24558	1.3979
cryfa	V	out1665	79473	27774	1.3979
cryfa	V	out1100	74529	26046	1.39789
cryfa	V	out1297	77139	26958	1.39789
cryfa	V	out2679	93804	32782	1.39789
cryfa	V	out357	79474	27774	1.39789
cryfa	V	out5456	78833	27550	1.39789
cryfa	V	out3356	77369	27038	1.39787
cryfa	V	out3520	70318	24574	1.39787
cryfa	F	out6	73752	25774	1.39787
cryfa	V	out1134	77415	27054	1.39786
cryfa	V	out2026	77461	27070	1.39786
